PRISM Time Series Data
Location:  Lat: 37.2350   Lon: -121.7127   Elev: 1247ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1975-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Jan-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2004-07,0.00,67.6
2004-08,0.00,68.2
2004-09,0.17,70.3
2004-10,3.35,59.9
2004-11,1.05,52.7
2004-12,4.70,49.8
2005-01,4.48,48.2
2005-02,4.55,52.5
2005-03,3.97,55.2
2005-04,1.88,53.4
2005-05,1.71,59.3
2005-06,0.37,61.5
2005-07,0.00,71.6
2005-08,0.00,70.5
2005-09,0.00,64.6
2005-10,0.09,61.9
2005-11,0.57,57.2
2005-12,5.77,51.4
2006-01,4.30,50.1
2006-02,1.58,52.0
2006-03,5.62,47.3
2006-04,5.48,52.5
2006-05,0.62,61.3
2006-06,0.00,67.2
2006-07,0.00,73.9
2006-08,0.00,67.6
2006-09,0.00,68.1
2006-10,0.11,61.3
2006-11,1.21,54.9
2006-12,2.56,49.5
2007-01,0.84,47.6
2007-02,3.86,49.7
2007-03,0.47,56.2
2007-04,0.83,55.1
2007-05,0.09,60.0
2007-06,0.00,63.6
2007-07,0.00,67.1
2007-08,0.00,68.3
2007-09,0.17,65.2
2007-10,1.13,60.1
2007-11,0.70,57.7
2007-12,1.99,46.7
2008-01,7.89,45.8
2008-02,2.90,49.7
2008-03,0.18,52.7
2008-04,0.06,53.7
2008-05,0.00,60.0
2008-06,0.00,66.2
2008-07,0.00,68.4
2008-08,0.00,69.4
2008-09,0.00,69.8
2008-10,0.28,65.1
2008-11,1.88,57.3
2008-12,2.12,47.0
2009-01,1.96,51.7
2009-02,6.49,49.7
2009-03,2.71,51.4
2009-04,0.44,54.6
2009-05,0.34,62.1
2009-06,0.00,63.4
2009-07,0.00,68.5
2009-08,0.00,69.0
2009-09,0.30,71.1
2009-10,4.59,60.3
2009-11,0.26,55.1
2009-12,2.86,47.7
2010-01,7.33,49.5
2010-02,3.02,51.1
2010-03,1.65,52.6
2010-04,4.05,51.3
2010-05,0.64,54.8
2010-06,0.00,63.9
2010-07,0.00,66.3
2010-08,0.00,65.1
2010-09,0.00,69.1
2010-10,1.31,62.2
2010-11,2.62,53.7
2010-12,5.39,49.2
2011-01,1.49,49.8
2011-02,4.47,47.3
2011-03,6.42,49.4
2011-04,0.41,53.3
2011-05,0.95,54.7
2011-06,1.17,61.5
2011-07,0.00,66.9
2011-08,0.00,67.2
2011-09,0.00,70.0
2011-10,1.10,63.5
2011-11,1.31,52.5
2011-12,0.07,49.5
2012-01,2.38,50.5
2012-02,0.96,51.5
2012-03,3.33,50.3
2012-04,2.91,54.5
2012-05,0.00,59.6
2012-06,0.21,63.2
2012-07,0.00,66.1
2012-08,0.00,68.9
2012-09,0.01,66.3
2012-10,0.49,63.7
2012-11,2.61,56.0
2012-12,8.32,47.6
2013-01,0.66,46.8
2013-02,0.39,49.3
2013-03,0.80,55.5
2013-04,0.52,58.8
2013-05,0.00,60.4
2013-06,0.03,65.6
2013-07,0.00,68.8
2013-08,0.00,66.4
2013-09,0.45,65.8
2013-10,0.05,61.9
2013-11,0.70,56.7
2013-12,0.47,49.3
2014-01,0.14,56.2
2014-02,3.68,52.5
2014-03,2.52,56.6
2014-04,1.61,56.5
2014-05,0.00,62.9
2014-06,0.00,65.7
2014-07,0.00,71.2
2014-08,0.00,68.5
2014-09,0.33,68.3
2014-10,0.14,67.4
2014-11,1.84,57.8
2014-12,9.95,52.5
2015-01,0.00,52.4
2015-02,3.02,56.6
2015-03,0.54,59.5
2015-04,1.15,56.2
2015-05,0.70,56.9
2015-06,0.00,67.1
2015-07,0.00,68.9
2015-08,0.02,69.4
2015-09,0.00,71.2
2015-10,0.22,67.4
2015-11,2.86,53.1
2015-12,3.48,47.8
2016-01,6.33,49.8
2016-02,0.94,56.0
2016-03,6.19,55.0
2016-04,1.67,57.8
2016-05,0.39,60.3
2016-06,0.00,68.6
2016-07,0.00,69.4
2016-08,0.00,67.5
2016-09,0.00,68.4
2016-10,4.14,61.6
2016-11,1.65,56.6
2016-12,2.11,47.9
2017-01,12.01,46.3
2017-02,7.33,51.1
2017-03,2.37,55.1
2017-04,2.36,55.3
2017-05,0.02,61.9
2017-06,0.06,66.6
2017-07,0.00,71.8
2017-08,0.00,70.4
2017-09,0.03,70.7
2017-10,0.27,65.5
2017-11,2.18,56.1
2017-12,0.08,52.0
2018-01,3.86,51.5
2018-02,0.30,53.0
2018-03,4.49,51.7
2018-04,1.88,55.7
2018-05,0.00,58.1
2018-06,0.00,64.7
2018-07,0.00,71.3
2018-08,0.00,68.8
2018-09,0.00,67.1
2018-10,0.10,64.3
2018-11,3.10,60.1
2018-12,1.99,50.2
2019-01,5.40,51.6
2019-02,8.27,46.1
2019-03,3.70,51.7
2019-04,0.33,58.7
2019-05,2.56,56.5
2019-06,0.00,67.7
2019-07,0.01,68.5
2019-08,0.00,71.2
2019-09,0.20,68.7
2019-10,0.00,64.0
2019-11,0.98,58.9
2019-12,5.49,50.4
